Ind	Sp	Gen	Line	CorollaWidth	CorollaThroat	CorollaLength	OverallCorollaLength	SepalLength	LongestStamenLength	PistilLength	SeedMass	SeedLength	SeedWidth	NectarVolume	SugarConcentration	NectarySize	TotalSugAmt
829	CL5	F5	33	23.55	6.921666667	23.74	27.93333333	11.30333333	16.64166667	15.86666667	0.0215	4.055	3.58	2.199375	331.0464588	0.122858745	741.7729483
497	CL5	F5	330	22.44666667	6.983333334	22.23333334	27.09	10.635	16.66166667	13.53833334	0.029	4.18	3.95	1.6971875	288.5719345	0.092769632	504.0221062
576	CL5	F5	331	21.39333334	6.208333334	21.73333334	25.87666667	12.095	16.54	16.01333334	0.0275	4.545	4	2.008125	342.2082215	0.106819415	689.0841996
1237	CL5	F5	332	21.85666667	6.375	25.78833334	29.87166667	10.83	18.28	15.11166667	0.03	4.225	4.455	1.521458334	285.682266	0.099438744	435.4714096
1383	CL5	F5	333	19.77	5.856666667	21.85833334	25.225	10.06166667	16.07333334	12.04333333	0.026	3.805	3.695	1.769791667	327.7392004	0.093724795	592.6991281
187	CL5	F5	335	21.29166667	6.355	22.44833334	26.495	10.995	15.96833334	14.77	0.028	3.945	3.555	1.4171875	284.1682554	0.084589069	416.5886159
539	CL5	F5	336	20.115	7.001666667	21.66333334	25.49	9.726666669	15.835	13.63666667	0.027	4.68	3.86	0.910833333	266.2952578	0.074895391	242.7527509
1097	CL5	F5	337	20.69666667	6.046666667	21.35833334	24.78333334	11.55833334	15.69	12.38	0.0275	4.595	4.33	0.767395834	291.3654991	0.054188143	240.2213462
1013	CL5	F5	338b	19.72	5.853333334	21.99	25.245	11.18166667	15.03166667	13.35833334	0.0215	4.335	3.38	1.265833333	295.0756625	0.08864775	374.3433329
1396	CL5	F5	340b	20.97166667	6.261666667	20.63	24.52666667	11.02833333	15.4	14.39	0.016	3.905	3.45	0.9765625	295.5757935	0.083534987	284.5439762
420	CL5	F5	341s	21.57666667	6.4	23.37	27.92166667	10.84333334	15.74166667	14.75666667	0.0245	4.515	4.005	1.1221875	289.7797448	0.093279357	334.2932407
483	CL5	F5	343s	21.95166667	6.71	23.12166667	27.04166667	10.61166667	16.70333334	13.35833333	0.0265	4.345	4.135	1.469791667	343.8279993	0.104269906	509.5247701
178	CL5	F5	344	23.47166667	7.23	25.205	28.58166667	11.395	18.76	16.47333334	0.032	4.98	4.265	2.4121875	350.7698091	0.147870021	845.1616845
1115	CL5	F5	351	20.74166667	6.286666667	22.13666667	25.34666667	11.265	16.12	14.44833334	0.026	4.635	4.075	1.146875	310.444105	0.074556487	361.2520034
39	CL5	F5	353	24.66166667	6.566666667	23.43333334	28.10833333	10.94166667	17.295	15.83166667	0.028	4.52	4.015	1.313333333	323.675708	0.090193173	419.2329193
1073	CL5	F5	354	23.93833334	6.52	23.83333333	28.875	11.7	16.75833334	15.00333334	0.034	4.705	4.225	2.385833334	336.7240875	0.146907164	798.0438386
963	CL5	F5	355	22.705	6.51	20.31833334	25.31833334	12.55166667	15.005	12.93666667	0.0325	4.095	4.25	2.552604167	316.0180567	0.09408227	818.6110985
1031	CL5	F5	357s	22.37166667	7.065	24.38833334	27.79833333	12.14666667	16.73666667	13.27	0.0275	4.525	4.705	1.838854167	329.643446	0.087068777	614.5246721
29	CL5	F5	358	22.27833333	6.278333333	24.82833333	28.76166667	10.78	16.28	12.905	0.033	4.74	4.365	1.100520834	337.7152255	0.088181506	373.5540863
585	CL5	F5	359	22.49	6.68	25.03666667	29.16833334	10.36833333	17.18166667	12.42833334	0.0305	4.71	4.635	0.98125	312.0355545	0.095073865	340.8217661
682	CL5	F5	36	20.04	5.91	21.59	25.345	11.05666667	15.17	12.365	0.035	4.74	4.475	1.008333333	220.3608254	0.081227678	295.3811065
1124	CL5	F5	361	20.70333334	6.745	20.81833334	25.66833333	10.43333334	14.89	14.2	0.0225	4.175	3.94	1.718541667	310.4795616	0.092899605	534.0409026
271	CL5	F5	362s	23.9	6.826666667	23.71	28.05	11.13333333	16.61333334	15.34333334	0.0265	4.41	4.01	2.055104167	312.7525025	0.101694234	642.7125722
1245	CL5	F5	363	24.09166667	6.771666667	22.38666667	27.53333333	10.505	17.06666667	14.655	0.0255	4.435	4.115	1.476875	321.1353511	0.100894968	479.9414853
