Ind	Sp	Gen	Line	CorollaWidth	CorollaThroat	CorollaLength	OverallCorollaLength	SepalLength	LongestStamenLength	PistilLength	SeedMass	SeedLength	SeedWidth	NectarVolume	SugarConcentration	NectarySize
313	CL5	F5	145	20.35333333	7.646666667	26.05333333	29.29	12.06	17.43	16.2	0.033	4.95	4.1	1.779375	362.8292016	0.120070328
1241	CL5	F5	146	24.58666667	6.8	23.15666667	27.81333333	12.06666667	15.47666667	14.36	0.03	4.14	3.66	2.307291667	344.0071303	0.103860509
973	CL5	F5	146	23.24333333	7.493333333	22.89	27.07333333	11.35	16.40333333	13.87666667	0.025	3.92	3.72	1.519375	329.7984652	0.080277198
1019	CL5	F5	147	22.62	6.173333333	22.49333333	26.64	10.79	16.93666667	13.95333333	0.031	4.24	4.11	2.946041667	330.7176921	0.121206963
1114	CL5	F5	147	20.3	5.96	21.33	25.31333333	8.49	16.63	12.94333333	0.025	3.95	3.81	2.014791667	316.7341247	0.085603419
1082	CL5	F5	148	24.12666667	7.336666667	21.95666667	27.30333333	10.46	15.21	12.93333333	0.028	4.17	4.28	1.63875	310.7056839	0.099868329
595	CL5	F5	148	24.2	7.576666667	23.16333333	27.37	10.21333333	15.24666667	13.74	0.026	3.99	3.71	1.973541667	285.1026263	0.0982588
499	CL5	F5	149	21.3	6.456666667	20.22333333	24.98666667	10.38333333	14.17333333	13.63	0.026	4.17	3.7	1.72375	280.5117889	0.091302367
533	CL5	F5	149	20.16666667	6.163333333	21.21666667	24.90666667	9.87	14.17666667	13.01666667	0.03	4.06	3.84	1.777083333	309.3720964	0.115271629
1206	CL5	F5	150	22.03666667	6.816666667	22.51	25.75	10.77333333	16.74333333	13.92333333	0.023	3.65	3.3	0.5675	235.3401012	0.088690838
518	CL5	F5	150	20.34333333	6.406666667	20.41	24.37333333	11.45666667	16.22	13.70666667	0.028	3.9	3.6	1.115	273.2136428	0.124398072
1277	CL5	F5	151	20.2	6.166666667	19.85666667	23.97333333	10.82333333	14.97333333	12.08666667	0.029	4.27	3.77	1.96375	303.269953	0.083840864
188	CL5	F5	151	20.20666667	6.193333333	20.18	23.67333333	10.75	14.82666667	13.26333333	0.033	4.86	3.95	1.400416667	320.7083399	0.085631288
152	CL5	F5	152	22.99	6.893333333	22.78666667	27.83	11.43666667	17.12333333	15.84333333	0.037	4.69	4.23	0.460208333	271.398015	0.062803168
729	CL5	F5	152	25.88333333	7.223333333	27.35	31.38666667	11.27666667	19.07	17.28	0.03	4.58	3.82	2.398958333	342.6007154	0.115346883
