Sp	Line	Ind	NectarVolume	SugarConcentation	TotalSugAmt	NectarySize
CL5	146	973	1.519375	329.7984652	530.3504038	0.080277198
CL5	147	1019	2.946041667	330.7176921	977.0004503	0.121206963
CL5	147	1114	2.014791667	316.7341247	632.997926	0.085603419
CL5	148	1082	1.63875	310.7056839	518.644263	0.099868329
CL5	148	595	1.973541667	285.1026263	582.4879518	0.0982588
CL5	149	499	1.72375	280.5117889	488.6891386	0.091302367
CL5	149	533	1.777083333	309.3720964	563.5498791	0.115271629
CL5	150	1206	0.5675	235.3401012	142.6303841	0.088690838
CL5	150	518	1.115	273.2136428	322.2123913	0.124398072
CL5	151	1277	1.96375	303.269953	624.9013087	0.083840864
CL5	151	188	1.400416667	320.7083399	449.156203	0.085631288
CL5	152	152	0.460208333	271.398015	134.8969064	0.062803168
CL5	152	729	2.398958333	342.6007154	836.7472386	0.115346883
CL5	153	1174	1.974375	323.1501094	635.4038707	0.103280183
CL5	153	1284	2.031041667	316.7466551	643.4895512	0.116136793
CL5	155	126	1.64875	352.2392376	581.121486	0.132437246
CL5	155	424	1.632916667	326.9562911	522.2528104	0.121336568
CL5	156	578	0.830208333	258.5009972	214.7381586	0.067934335
CL5	156	609	1.052916667	366.8038888	392.0490236	0.097830217
CL5	157	1045	0.946458333	377.8062116	351.6453173	0.120046792
CL5	157	361	0.551666667	364.337148	198.4527071	0.076001012
CL5	158	333	1.001041667	266.448196	261.9527589	0.064730213
CL5	158	558	1.417708333	306.0933766	450.7353082	0.098346394
CL5	160	480	0.819583333	286.5933212	234.0627805	0.063895215
CL5	160	901	1.820833333	274.0781122	503.3295345	0.106687549
CL5	161	1118	2.600625	316.516496	829.3221679	0.16457376
CL5	161	1316	2.849375	315.3394394	905.9461782	0.124794488
CL5	162	1128	2.26	346.4968693	783.8185696	0.103659877
CL5	162	793	0.423541667	310.1522158	134.6210917	0.109348002
CL5	165	1203	0.820416667	282.1125223	230.5590495	0.075074893
CL5	166	1338	1.919375	308.2406037	591.7139427	0.1017431
CL5	166	1380	2.659166667	329.9930518	880.5233447	0.116287858
CL5	172	1025	1.45125	323.7461276	470.1248846	0.100832105
CL5	172	715	1.216666667	294.4920201	379.2891146	0.088701413
CL5	174	1372	1.2175	251.3803945	307.8839117	0.083584358
CL5	174	849	0.423958333	240.6188293	104.0532755	0.054427015
CL5	176	1183	1.828333333	369.6656677	675.4012753	0.121636675
CL5	176	1407	2.270833333	399.1006113	906.736171	0.26089272
CL5	177	197	1.809375	300.7469288	549.8823898	0.122169985
CL5	177	923	2.132083333	270.4554845	576.1976089	0.087739131
CL5	180	1119	2.103958333	273.8292342	580.9002393	0.091990292
CL5	180	35	1.51625	270.9001385	408.5077576	0.09485114
CL5	181	738	1.630833333	338.9387501	555.3298295	0.083462674
CL5	181	877	1.6025	334.7078717	542.3913616	0.082833584
CL5	182	1035	1.738125	327.454759	615.5669369	0.161059601
CL5	182	461	2.52	374.7342029	944.430786	0.269331647
