Family	Ind	Accession	Sp	F2G	Rep	Seed Mass	Seed Length	Seed Width	Seed L/W Ratio
R17	1329	CL5	F5	188d	C	0.029	4.5	3.93	1.145
R17	1330	CL5	F5	508	A	0.031	4.75	4.26	1.115
R17	1331	C	LS	S1	5	0.026	4.37	3.96	1.104
R17	1332	CL5	F5	101s	D	0.027	4.38	4.08	1.074
R17	1333	CL5	F5	115	A	0.033	4.64	3.99	1.163
R17	1334	CL5	F5	36	A	0.027	4.41	4.08	1.081
R17	1335	CL5	F5	112	A	0.027	4.17	3.53	1.181
R17	1336	CL5	F5	302b	D	0.029	3.9	3.55	1.099
R17	1337	CL5	F5	38	B	0.032	4.69	4.07	1.152
R17	1338	CL5	F5	166	D	0.028	4.36	4.03	1.082
R17	1339	CL5	F5	203	C	0.032	4.65	4.08	1.14
R17	1340	CL5	F5	379	B	0.028	4.74	4.16	1.139
R17	1341	CL5	F5	234	D	0.027	4.46	4.18	1.067
R17	1342	CL5	F5	240	C	0.023	4.32	3.83	1.128
R17	1343	CL5	F5	99	D	0.027	4.5	3.63	1.24
R17	1344	CL5	F5	156	A	0.03	4.27	3.9	1.095
R17	1345	CL5	F5	414	A	0.022	4.13	3.75	1.101
R17	1346	CL5	F5	447	C	0.023	4.23	3.75	1.128
R17	1347	CL5	F5	474s	C	0.025	4.28	3.88	1.103
R17	1348	CL5	F5	431b	A	0.033	4.11	4.18	0.983
R17	1349	CL5	F5	440s	A	0.026	4.67	4.15	1.125
R17	1350	CL5	F5	155	C	0.034	4.43	4.06	1.091
R17	1351	CL5	F5	443w	A	0.028	4.31	4.14	1.041
R17	1352	CL5	F5	371	A	0.023	4.28	3.92	1.092
R17	1353	CL5	F5	383	B	0.021	3.86	3.58	1.078
R17	1354	CL5	F5	390b	D	0.011	3.07	2.56	1.199
R17	1355	CL5	F5	077b	A	0.022	3.92	3.7	1.059
R17	1356	CL5	F5	365	D	0.028	4.27	3.63	1.176
R17	1357	CL5	F5	490b	C	0.015	4	3.34	1.198
R17	1358	CL5	F5	88	C	0.033	4.48	3.78	1.185
R17	1359	CL5	F5	400	B	0.029	4.96	3.89	1.275
R17	1360	CL5	F5	1	B	0.036	4.75	4.27	1.112
R17	1361	CL5	F5	188d	A	0.03	4.46	3.92	1.138
R17	1362	CL5	F5	46	C	0.033	4.77	4.49	1.062
R17	1363	L	LS	S1	26	0.029	4.67	4.14	1.128
