Date	Number	Time	Sp	Ind	Infl_pos	Cor_Len_Var	Nectar_UNC	Nectar_CON	Sugar_UND	Sugar_D+2.5	Sugar (UNDc; mg/mL)	"Sugar (D_2.5_c), mg/mL"	"Sugar (D, c, mg/mL)"	SugConAvg(mg/ml)	TotalSugAmt	Time Removed
3/29/18	28	11:02:00 AM	F5	264	1	25.58	27.62	1.72625	32.9	13.9	375.771344	145.724664	356.7669001	366.269122	632.2720719	10:41-10:45
3/17/18	25	10:44:00 AM	F5	265	1	24.07	35.76	2.235	24.5	12	269.4008	124.8008	264.3990103	266.8999051	596.5212879	10:37-10:40
2/13/18	29	10:53:00 AM	F5	265	1	24.11	26.31	1.644375	29	11.8	325.4654	122.620296	309.0441592	317.2547796	521.6858282	10:31-10:34
2/3/18	21	10:25:00 AM	F5	265	1	23.47	21.23	1.326875	24.8	8.1	273.072416	83.037104	239.4894902	256.2809531	340.0527896	9:50-9:54
3/29/18	25	10:52:00 AM	F5	268	1	27.89	31.24	1.9525	32.1	15.2	365.322224	160.258976	365.4561284	365.3891762	713.4223665	10:41-10:45
2/13/18	31	11:00:00 AM	F5	268	1	22.41	12.23	0.764375	27.7	6.1	309.050976	62.238144	265.7970778	287.4240269	219.6997406	10:31-10:34
4/5/18	33	11:13:00 AM	F5	268	1	25.4	22.77	1.423125	30.1	11.1	339.492864	115.021544	317.0795923	328.2862282	467.1923385	10:40-10:43
2/27/18	28	11:00:00 AM	F5	269	1	24.5	14.13	0.883125	19.2	4.8	206.090816	48.943616	187.4959614	196.7933887	173.7931614	10:32-10:35
3/6/18	5	10:38:00 AM	F5	269	2	22.46	2.16	0.135	27	1.7	300.2858	17.956016	350.4748308	325.3803154	43.92634258	10:15-10:19
3/1/18	1	9:18:00 AM	F5	269	1	21.95	0.47	0.029375	0	0.1	0	2.356464	202.9065917	202.9065917	5.960381131	9:10-9:13
2/13/18	35	11:14:00 AM	F5	270	1	23.22	16.12	1.0075	28.1	7.8	314.082704	79.890536	278.1300794	296.1063917	298.3271896	10:31-10:34
2/20/18	15	9:59:00 AM	F5	270	1	22.18	6.69	0.418125	25.5	3.5	281.6762	35.8262	250.0336738	265.8549369	111.1605955	9:52-9:55
2/3/18	27	10:51:00 AM	F5	270	1	23.24	17.41	1.088125	22.2	6.3	241.565096	64.299176	212.0284718	226.7967839	246.7832505	10:36-10:40
5/24/18	2	10:21:00 AM	F5	271	1	30.85	29.98	1.87375	29.6	12.6	333.101024	131.367464	306.6409316	319.8709778	599.3582447	10:10-10:12
