Line,CorollaWidth,CorollaThroat,CorollaLength,OverallCorollaLength,SepalLength,LongestStamenLength,PistilLength,SeedMass,SeedLength,SeedWidth,NectarVolume,SugarConcentration,NectarySize,sqrtNectarVol,lnNectarySize
383,19.04833334,6.178333334,21.04666667,24.63,10.925,14.585,11.985,0.021,3.85,3.565,1.102083333,286.1360633,0.065058724,1.04064657,-2.73877111
385,19.10666667,5.678333333,19.28833334,23.36333334,9.123333334,14.45333333,12.185,0.0285,4.42,4.165,1.27125,313.2589814,0.103671733,1.110560242,-2.283198337
386s,22.59333334,6.87,23.94666667,27.51333333,12.235,15.77333333,14.715,0.0255,4.4,3.725,1.505520834,328.7858889,0.138843962,1.206477607,-2.005977983
387b,20.795,6.595,24.33666667,27.85833333,11.11666667,16.96833334,14.805,0.027,3.9,3.81,1.586666667,314.0385777,0.093875416,1.254091992,-2.384256526
390b,23.75166667,6.616666667,24.825,30.01,11.60333334,17.815,14.465,0.0115,3.185,2.735,2.665,316.8344901,0.134052634,1.500945019,-2.056023633
391,23.215,6.786666667,24.94833334,29.47,10.5,17.67,15.34333334,0.0255,4.48,3.84,1.7225,331.467134,0.132020075,1.289227055,-2.035177056
392,20.94,6.136666667,22.01833334,26.19166667,9.868333333,16.85,15.185,0.0265,4.23,3.8,1.118229167,308.2497596,0.084319739,1.035402376,-2.504290798
393,21.915,6.363333334,24.52166667,28.49333333,10.79666667,16.97833334,12.74166667,0.0205,3.85,3.75,1.831875,366.3590192,0.115301142,1.33806877,-2.18297274
396,19.21,6.491666667,22.55333333,25.21166667,10.365,15.24666667,13.78166667,0.028,4.705,3.875,1.203020833,266.6423884,0.077830665,1.074047811,-2.562013301
399,20.64,6.163333333,19.42666667,23.27666667,11.365,14.71666667,11.95,0.027,4.125,4.105,0.574270833,318.1700464,0.07376175,0.718157977,-2.634989431
40,21.74833333,6.433333334,22.65,26.455,11.815,16.31,12.82,0.0325,4.66,4.105,1.697916667,311.6539196,0.117824758,1.278442499,-2.185116324
400,23.34666667,6.485,23.26833333,27.34,12.36333333,16.56833334,16.275,0.027,4.86,3.815,2.6290625,321.967409,0.143534473,1.610700789,-1.953064497
402,23.11833334,6.335,22.73666667,27.03,11.69333333,16.70666667,14.05666667,0.0275,4.55,3.855,3.1146875,370.7784195,0.175239065,1.75800171,-1.76354731
404,23.79333334,7.523333334,23.02166667,27.56833334,12.44833333,17.28166667,15.08833333,0.0225,4.52,3.995,1.9728125,372.9831339,0.188178567,1.376817696,-1.691885201
405,22.90333333,6.46,23.57333333,27.895,12.04666667,16.125,13.635,0.0275,4.625,3.845,0.920416667,302.0708126,0.097071856,0.926884897,-2.364238971
406s,17.60666667,5.715,19.47833334,22.52333334,9.433333333,14.79,11.81666667,0.026,4.03,3.935,0.987760417,332.0965079,0.072622753,0.969394178,-2.636494256
407,21.35166667,6.411666667,23.18,27.37,10.525,15.445,14.88666667,0.0285,4.305,4.535,1.154583334,338.7413913,0.106857703,1.055539259,-2.270727671
409s,23.68833333,6.783333334,23.34333334,28.32166667,10.92333334,16.08833333,15.07166667,0.024,4.065,4.13,1.6575,311.8410273,0.102751956,1.279065625,-2.283769591
41,21.52833334,6.386666667,20.82166667,24.95833334,9.648333332,14.63166667,12.70666667,0.024,4.265,3.845,0.7115625,305.6715088,0.05967445,0.726676849,-2.832848704
410,26.00333333,6.69,23.105,29.09,11.56,17.73333334,15.69,0.03,4.51,4,1.160833333,280.9182783,0.103476439,1.058058196,-2.279030371
411,20.83416667,6.959166667,23.55833334,27.435,11.59416667,15.60666667,15.29333334,0.025,4.46,3.7,1.583125,322.5624987,0.111575639,1.249769493,-2.203338924
412,22.29,6.483333334,21.55166667,25.725,11.24,15.6,14.61166667,0.024,4.405,3.82,1.505416667,298.82556,0.11577306,1.220386157,-2.199439229
413,20.555,6.411666667,24.95833333,28.29,10.46666667,16.44,14.29166667,0.0315,4.465,4.07,0.979479167,276.3093659,0.062334179,0.981712665,-2.796978092
414,25.59333334,6.816666667,25.09666667,30.12333334,11.19666667,18.54666667,17.18333334,0.028,4.27,4.11,2.825833334,326.8560526,0.130033759,1.661148959,-2.058564467
415,22.37833334,6.636666667,22.415,26.21833334,11.23,15.715,14.14,0.0285,4.47,4.16,1.037291667,308.6608933,0.096094316,0.983622162,-2.372449556
417,21.20833334,7.23,21.035,24.77666667,12.385,15.08,12.96166667,0.025,4.64,3.775,1.503333334,335.4023817,0.147601446,1.21750879,-1.945748474
418,23.16166667,7.356666667,23.4,28.19833334,11.13333334,16.79,14.58333334,0.0275,4.205,3.805,2.573229167,341.7240545,0.139213899,1.569893455,-2.003498567
42,22.01166667,7.375,24.30666667,27.22833334,11.185,16.68666667,14.42166667,0.0335,4.72,4.115,1.989270834,333.2162428,0.118372035,1.406032891,-2.14443027
421,23.47833333,6.366666667,23.85,28.06833334,10.24,17.5,13.65833334,0.024,3.88,3.795,2.044270834,296.4365851,0.080462697,1.425005238,-2.535120539
423,19.67,6.023333334,20.27666667,23.41166667,10.43333333,14.8,13.39166667,0.027,4.415,3.87,0.690416667,326.0336011,0.080428314,0.799402599,-2.58906554
424,20.565,6.006666667,22.30333333,25.51,10.23166667,14.79666667,12.54833333,0.02,3.715,3.46,1.448645834,338.1967635,0.088516301,1.19207771,-2.491284486
426b,19.55833333,6.135,22.59666667,26.19,10.85333333,15.36166667,12.935,0.0245,4.11,3.745,0.632395833,253.4712629,0.07080382,0.765346938,-2.664657823
429,20.04666667,6.076666667,20.625,24.45166667,10.67166667,15.29166667,13.62833333,0.016,3.575,3.355,1.613541667,340.4073531,0.09411414,1.24924157,-2.482505288
431b,22.99333334,6.6,24.165,27.90166667,11.81,16.295,13.75166667,0.032,4.215,4.045,1.8078125,311.5391604,0.102150907,1.326170679,-2.297377484
432,22.81,6.226666667,22.83,27.38666667,11.13,15.51,15.04666667,0.019,4.055,3.48,2.314375,342.3682633,0.105865131,1.513759024,-2.263238181
433s,25.56166667,6.56,23.31333334,29.05166667,10.50166667,14.39,13.185,0.027,4.02,3.84,1.0284375,236.9208168,0.130875739,0.922836342,-2.131462704
